MCMC round,"pr-(Sc,Sf)","pr-((Sc,Sf),Sb)","pr-(((Sc,Sf),Sb),Sa)","pr-(((Sc,Sf),Sb),Sa),Pg","ls-(Sc,Sf)","ls-((Sc,Sf),Sb)","ls-(((Sc,Sf),Sb),Sa)","gn-(Sc,Sf)","gn-((Sc,Sf),Sb)","gn-(((Sc,Sf),Sb),Sa)",log-likelihood,"lsrate-(Sc,Sf)","lsrate-((Sc,Sf),Sb)","lsrate-(((Sc,Sf),Sb),Sa)","gnrate-(Sc,Sf)","gnrate-((Sc,Sf),Sb)","gnrate-(((Sc,Sf),Sb),Sa)"
1,2829.017207,2800.295873,2566.938305,1394.482159,52.70237694,669.5322987,1558.536438,23.98104263,436.1747301,386.080293,-13600.88199,0.008600291732,0.1883241617,0.3331668747,0.001491132119,0.02042669971,0.05003508147
2,2832.422024,2797.949008,2746.692088,1408.627444,66.94596879,638.2577749,1722.508952,32.47295313,587.0008554,384.4443078,-13630.94079,0.01168161738,0.242522721,0.329695008,0.002009884932,0.02170212612,0.05973642015
3,2821.243973,2781.428457,2656.265104,1404.783579,57.95822027,619.5923351,1630.765588,18.1427039,494.4289826,379.2840627,-13398.34464,0.006558389015,0.2081025964,0.3247067673,0.001683961828,0.01995478647,0.05438270085
4,2787.582596,2753.242113,2641.844294,1393.377109,52.93008327,603.7591088,1626.875438,18.58960032,492.3612896,378.4082528,-13392.23344,0.006793578109,0.208398454,0.3267125647,0.001549841028,0.01959402925,0.05481809213
5,2792.388571,2769.584629,2559.642524,1382.851947,52.88607096,609.2547718,1549.43185,30.08212927,399.3126667,372.6412729,-13378.09857,0.0109362084,0.1723366217,0.3229101722,0.001550990416,0.01942519259,0.05216461994
6,2858.350996,2827.029019,2738.2207,1436.930795,49.30284856,686.1451183,1677.531871,17.98087215,597.3367993,376.2419657,-13639.03069,0.006365738448,0.2487510854,0.3125532426,0.001394374823,0.02164614122,0.05344091014
7,2815.330141,2793.856656,2592.580217,1391.860955,45.30084964,593.0981893,1559.236181,23.82736523,391.8217497,358.516919,-13353.72903,0.008583506816,0.1664217592,0.3062588426,0.00133306911,0.01893426386,0.05228268391
8,2758.351845,2756.707628,2549.469406,1377.276876,39.71414996,619.7397062,1552.645936,38.06993306,412.5014846,380.4534055,-13426.94203,0.01392252797,0.1789939706,0.3325195715,0.001153604283,0.01941869976,0.05141517331
9,2751.754511,2733.360738,2505.990686,1370.488711,34.01585222,595.2495433,1500.607005,15.62207903,367.879491,365.1050311,-13440.11823,0.005735628815,0.1613301064,0.318187295,9.83E-04,0.01852648144,0.04949332256
10,2803.973783,2781.054258,2675.927987,1457.565455,49.38478281,613.964764,1583.410617,26.46525756,508.8384925,365.0480856,-13542.11174,0.00957989985,0.2127973516,0.2956122235,0.00119148199,0.01634996245,0.04309621391
11,2795.206192,2792.796872,2681.270045,1405.426225,40.54505743,623.4625354,1640.020877,38.13573732,511.935709,364.1770569,-13501.67349,0.01376992732,0.2139930135,0.3091103416,0.001207941602,0.02065257205,0.05574406941
12,2767.823693,2738.164267,2571.437706,1380.639151,49.29374109,619.4581514,1544.311207,19.63431515,452.7315907,353.5126514,-13551.80344,0.007212632876,0.1964542594,0.3046344901,0.001450591966,0.01997242074,0.05136424932
13,2855.587684,2843.307524,2691.174695,1421.683899,35.22427418,634.2985147,1638.006135,22.94411451,482.1656852,368.515339,-13427.35913,0.008124653441,0.1998143823,0.3094491902,0.001022362032,0.02033769816,0.05417995529
14,2803.688707,2800.529751,2633.411867,1404.764096,36.86919851,635.7711555,1602.365502,33.71024241,468.6532719,373.7177311,-13488.95786,0.01213113362,0.1981448751,0.3183116532,0.001069636372,0.02008728842,0.05258121556
15,2854.151386,2821.654423,2643.370516,1411.059495,53.10679756,645.813883,1603.757486,20.60983504,467.5299764,371.4464642,-13489.62281,0.007345972888,0.1973258672,0.3149521387,0.00154131527,0.02054811504,0.05285148067
16,2767.719344,2746.228052,2629.604707,1388.049719,40.15281232,594.1824756,1598.310727,18.66152053,477.5591299,356.7557398,-13299.96273,0.006832407076,0.2031365414,0.305867044,0.001187568989,0.01943418055,0.05383481389
17,2791.564304,2780.438034,2595.498045,1392.641249,35.36488416,610.0211316,1563.227646,24.23861381,425.0811433,360.3708497,-13396.36668,0.008765659442,0.1815204206,0.30796569,0.001034921385,0.01941607505,0.05186631334
18,2756.650178,2735.996799,2555.054002,1352.701439,36.84410988,624.0509687,1572.467898,16.19073091,443.108172,370.1153341,-13529.91825,0.005946429896,0.192941694,0.3293281156,0.001119487726,0.02116977651,0.05589061893
19,2782.768813,2743.020954,2660.789834,1407.586058,56.41904315,587.9478011,1617.772743,16.67118397,505.7166815,364.5689662,-13398.84819,0.006107729357,0.2126775718,0.308423853,0.00162038265,0.01854670464,0.05240342686
20,2788.525185,2768.378157,2619.28272,1391.049787,47.13596939,624.231729,1594.551602,26.98894114,475.1362925,366.3186689,-13488.50641,0.009808279474,0.2030214177,0.3147048103,0.001391773897,0.02034107091,0.05373083313
21,2780.352633,2774.158947,2715.433767,1410.532627,38.08354529,591.5592532,1674.554411,31.88985933,532.8340727,369.6532713,-13495.15057,0.0115852821,0.220009101,0.3133016448,0.001120341616,0.01932728633,0.0560612695
22,2762.289377,2750.591453,2664.001433,1395.907496,52.08447541,578.8547813,1632.575975,40.38655165,492.2647615,364.4820382,-13572.78261,0.01483591198,0.2061673149,0.3123175155,0.001545767258,0.01898301022,0.05514062182
23,2762.956361,2753.440408,2493.210475,1366.247877,44.46701926,625.0484993,1500.242986,34.95106562,364.8185669,373.2803875,-13575.05817,0.01277937619,0.1609499883,0.3283864045,0.001296063928,0.01955208385,0.04992306965
24,2830.329243,2800.402238,2669.667577,1403.977247,51.11888148,669.8287709,1649.103756,21.19187622,539.0941108,383.413425,-13635.42225,0.007586561156,0.2275125866,0.32927963,0.001500425254,0.02195625922,0.05554209079
25,2829.205163,2784.010127,2564.945211,1389.148428,55.61825212,688.3703294,1531.958845,10.42321595,469.3054136,356.162062,-13597.58599,0.003748012817,0.2052000268,0.3044201007,0.001621681962,0.0220173394,0.05036655784
26,2773.862308,2768.610072,2793.13847,1438.04588,27.85398842,645.0393493,1720.011248,22.60175323,669.5677466,364.9186574,-13576.40696,0.008175461567,0.2771558391,0.3019855445,7.89E-04,0.0205450545,0.05420959013
27,2755.997171,2740.488711,2588.927631,1378.644566,39.91195065,618.6001551,1574.924613,24.40349029,467.039076,364.6415478,-13616.17162,0.008964487861,0.2013137904,0.3161908109,0.001177515284,0.02003649637,0.05283344409
28,2802.580665,2799.746131,2695.067108,1410.133547,39.83873376,629.2056,1654.294832,37.00420008,524.5265767,369.3612711,-13463.64409,0.01331743135,0.2182875102,0.3134700067,0.001177639748,0.02068555306,0.0557121194
29,2774.331019,2745.774331,2754.13044,1415.410147,54.10087296,587.0424906,1700.96959,25.54418505,595.3985998,362.2492966,-13590.18988,0.009363958407,0.2455782856,0.3054651881,0.001609231951,0.0197409377,0.05757111139
30,2759.237532,2737.647875,2544.438175,1362.867538,50.61781816,645.3388311,1554.530797,29.02816053,452.1291318,372.9601598,-13532.10694,0.01063723876,0.1988503887,0.3295706637,0.001514380358,0.02123803405,0.05339747464
31,2720.545103,2703.947112,2591.929762,1371.055818,48.03087048,638.0721448,1579.749611,31.43287932,526.0547947,358.8756664,-13516.26559,0.01171332419,0.2291162045,0.3124789318,0.001438876906,0.02135482038,0.05388923036
32,2806.762635,2811.759024,2578.975773,1404.988441,38.14819731,638.8208084,1560.23788,43.14458609,406.0375571,386.2505484,-13465.08718,0.01546591347,0.1732020306,0.3307839095,0.001066672033,0.01895893045,0.04900536877
33,2832.903535,2794.753456,2681.198565,1416.817972,64.48090847,607.9726127,1630.336266,26.330829,494.4177225,365.9556728,-13586.73106,0.00950327099,0.2057175087,0.3076368346,0.001873193771,0.01938457605,0.05349700633
34,2783.240674,2761.882903,2689.806303,1398.314227,39.87271532,580.7439932,1658.387114,18.51494422,508.667393,366.8950372,-13508.30361,0.006752676389,0.2109376713,0.3137034472,0.001186646705,0.0193323213,0.05691720666
35,2802.004348,2801.833683,2685.189019,1405.916875,34.40098675,622.6926716,1647.699067,34.23032141,506.0480076,368.4269238,-13517.18823,0.01230233917,0.210475086,0.3132053857,0.001021719076,0.0205258642,0.05594423868
36,2833.670252,2815.906608,2664.039596,1403.007502,54.02401582,615.749815,1636.534789,36.2603719,463.8828027,375.502696,-13579.76064,0.01297500014,0.1929515414,0.3212910357,0.001599013489,0.02008754235,0.05568663953
37,2813.131536,2803.871004,2641.685245,1411.102993,46.56451064,665.1883015,1601.006325,37.30397845,503.0025431,370.4240722,-13658.33,0.01339535554,0.2135194813,0.3137474894,0.00134004741,0.02088288336,0.0516341842
38,2736.940124,2718.506309,2553.615091,1348.214027,44.36657873,580.8074689,1568.730375,25.93276349,415.9162507,363.3293114,-13487.97563,0.009608857183,0.1801229282,0.3240889947,0.001363032743,0.01979002163,0.05617022084
39,2797.480108,2782.078376,2611.865132,1394.679146,46.40860722,625.3322462,1570.22287,31.00687487,455.1190025,353.0368842,-13586.25054,0.01123622936,0.1940701263,0.3006854093,0.001365076318,0.02003871059,0.05184629269
40,2810.813613,2790.72132,2688.208258,1405.566149,49.00330269,652.7448541,1639.568362,28.91100956,550.2317923,356.9262533,-13697.0585,0.01041742785,0.2310035993,0.3023443559,0.001469233709,0.02194867229,0.05578717055
41,2835.10642,2821.313947,2725.696402,1426.840352,45.15677796,632.8023699,1690.668353,31.36430503,537.1848243,391.812303,-13524.39564,0.01118821455,0.2215543534,0.3314743075,0.001296069175,0.02004368437,0.05526017115
